news_title,news_content,news_source,news_pubtime,news_sentiment,news_url
菅义伟承诺东京奥运会将如期举行 日本新冠疫情日益严重,"近日菅义伟承诺东京奥运会将如期举行 日本新冠疫情日益严重登录上了网络热搜，受到广大网友们的关注，那么关于目前的菅义伟承诺东京奥运会将如期举行 日本新冠疫情日益严重相信小伙伴们都是想要了解到最新的信息吧，小编也是在网上进行了一些整理，收集到了一些与菅义伟承诺东京奥运会将如期举行 日本新冠疫情日益严重相关的文章，那么下面就来分享给大家一起来了解了解吧。（以下内容来自于网络，如有侵权请联系站长进行删除） 关于到现在菅义伟承诺东京奥运会将如期举行 日本新冠疫情日益严重这个话题相信很多小伙伴都是非常有兴趣了解的吧! 因为这个话题也是近期非常火热的,那么既然现在大家都想要知道菅义伟承诺东京奥运会将如
 ... ",河南头条网[zynews.cc],2020-12-05,1.0,http://www.zynews.cc/caijing/168588.html
电驴性爱,"受疫情影响，原定于2020年举办的日本东京奥运会已被推迟。目前，东京奥运会定于2021年7月23日开幕。 电驴性爱 电驴性爱 受疫情影响，原定于2020年举办的日本东京奥运会已被推迟。目前，东京奥运会定于2021年7月23日开幕。 电驴性爱 资料图：位于日本东京站前的奥运会倒计时电子钟。 受疫情影响，原定于2020年举办的日本东京奥运会已被推迟。目前，东京奥运会定于2021年7月23日开幕。 受疫情影响，原定于2020年举办的日本东京奥运会已被推迟。目前，东京奥运会定于2021年7月23日开幕。 中新网4月28日电 据法新社报道，当地时间28日，东京奥组委主席表示，如果到2021年，新冠病毒
 ... ",中国产经新闻网,2020-12-06,0.0,http://www.cien.com.cn/zy20201206/78403.html
巴赫四封公开信，讲述东京奥运波澜,"疫情冲击下的体坛 京报体育年终专稿 资料图 新华社记者 徐金泉 摄 2020年本是一个体育“大年”，但受到新型冠状病毒肺炎疫情影响，全球体育按下了“暂停键”，体育界影响力最大的2020东京奥运会也改期至2021年举行。围绕着疫情影响下的东京奥运会，国际奥委会主席巴赫在这一年间发表了四封公开信。不同的时期，不同的境遇，巴赫发出不同的声音。四封信写尽了东京奥运会的进退维谷、波澜起伏，也指明了奥运会究竟何去何从。 第一封信 时间 3月5日 坚信如期办赛 号召全力以赴备战 今年初，新冠肺炎疫情全球蔓延，外界对东京奥运会能否如期举办持有不同意见，各种声音此起彼伏。在这样的大环境下，国际奥委会主席巴赫
 ... ",东方头条,2020-12-01,0.0,http://mini.eastday.com/a/201201160103376.html?recommendtype=e
东京奥运会推迟令预算增加19亿美元 目前什么情况？？,"近日东京奥运会推迟令预算增加19亿美元 目前什么情况？？登录上了网络热搜，受到广大网友们的关注，那么关于目前的东京奥运会推迟令预算增加19亿美元 目前什么情况？？相信小伙伴们都是想要了解到最新的信息吧，小编也是在网上进行了一些整理，收集到了一些与东京奥运会推迟令预算增加19亿美元 目前什么情况？？相关的文章，那么下面就来分享给大家一起来了解了解吧。（以下内容来自于网络，如有侵权请联系站长进行删除） 关于到现在东京奥运会推迟令预算增加19亿美元 目前什么情况？？这个话题相信很多小伙伴都是非常有兴趣了解的吧! 因为这个话题也是近期非常火热的,那么既然现在大家都想要知道东京奥运会推迟令预算增加
 ... ",河南头条网[zynews.cc],2020-11-30,1.0,http://www.zynews.cc/shehui/164895.html
东京奥运会推迟成本惊人预算或增加19亿美元（附原文）,"近日东京奥运会推迟成本惊人预算或增加19亿美元（附原文）登录上了网络热搜，受到广大网友们的关注，那么关于目前的东京奥运会推迟成本惊人预算或增加19亿美元（附原文）相信小伙伴们都是想要了解到最新的信息吧，小编也是在网上进行了一些整理，收集到了一些与东京奥运会推迟成本惊人预算或增加19亿美元（附原文）相关的文章，那么下面就来分享给大家一起来了解了解吧。（以下内容来自于网络，如有侵权请联系站长进行删除） 关于到现在东京奥运会推迟成本惊人预算或增加19亿美元（附原文）这个话题相信很多小伙伴都是非常有兴趣了解的吧! 因为这个话题也是近期非常火热的,那么既然现在大家都想要知道东京奥运会推迟成本惊人预算或
 ... ",河南头条网[zynews.cc],2020-11-30,0.0,http://www.zynews.cc/resou/164875.html
伊藤美诚誓要奥运夺冠，国乒面临巨大挑战，老将新秀究竟该用谁？,"日本20岁天才少女伊藤美诚，近日在接受采访的时候，再一次强调，自己的最大目标依然是要在东京奥运会勇夺三冠。和中国女乒不同，日本方面早在2019年就已经确定了东京奥运会的参赛人选，伊藤美诚和石川佳纯获得了东京奥运会的单打参赛资格，平野美宇获得了团体的参赛资格。此外，伊藤美诚还将搭档水谷隼，参加东京奥运会的混双比赛。伊藤美诚多次强调自己要在东京奥运会成就三冠王，客观来说，这有点不太现实，毕竟日乒想要
 ... 是说大话，事实上，伊藤美诚也确实有能力在东京奥运会上争夺女单和混双的冠军。先说混双，伊藤美诚和水谷隼的混双组合，她们搭档已经很久了，而且，在各站公开赛中也取得了不错的成绩，尽管他们还没有战胜过其次就是
 ... ",腾讯新闻网,2021-04-02,0.0,https://kandianshare.html5.qq.com/v2/news/5659912978104594754
"测试赛""失而复得""，国际奥委会最新承诺，东京奥运真的能如期举办吗？","文/腾讯体育记者 应虹霞 2021年4月14日，东京奥运会正式进入倒计时100天。 全世界的目光再次聚焦日本。人们不禁又双叒次地发出“灵魂拷问”：其一，东京奥运会，这一次果真能如期在2021年7月
 ... 者送医； 6、东京奥运会从“被诅咒”到获祝福，只隔了一个池江璃花子的距离； 7、朝鲜退出，日本代表团开始组建！开幕式点火人物闪耀浮出http://inews.gtimg.com/newsapp_match/0/13408329900/0 腾讯体育前方记者直击到的新国立竞技场最新外观 值得一提的是，就在笔者发稿前夕，国际奥委会发布了最新视频，断言《东京奥运会确定将如期召开》。 【1、圣火传递一波三折
 ... ",腾讯新闻网,2021-04-14,1.0,https://new.qq.com/omn/20210414/20210414A0401M00
国际奥委下死命令，日本陷入两难，奥运会主办权成了烫手山芋？,"突如其来的新冠肺炎给世界按下了暂停键，在疫情的冲击下，不仅世界经济出现了严重停滞，许多大型活动也因为种种原因被迫停止。其中，最令世界人民关注的，就是东京奥运会的推迟问题了。 东京奥运会按下暂停键，奥委会下死命令 本来，对于这一次东京奥运会，日本政府可以说是饱含了很大的期待，日本政府想要通过举办这场全球性的体育盛事来提高日本的国际影响力以及日本民众的自豪感，更重要的是，日本想要通过这场奥运会，拉动日本经济的复苏。但是人算不如天算，谁能想到，日本的精心筹备会被突然来袭的新冠病毒给打破呢？ 事到如今，日本非但没有通过东京奥运会的举办获得经济上的复苏，反而，因为东京奥运会的延期举办，日本为其付出了
 ... ",腾讯新闻网,2020-09-11,1.0,https://new.qq.com/omn/20200911/20200911A0CIJG00
【一笔多论】应该为东京奥运会的创新积极点赞,"原标题：【一笔多论】应该为东京奥运会的创新积极点赞 ◆王亚囡 今年，日本是铁定心思要举办东京奥奥运会了。近日，日本奥委会主席山下泰裕表示，为了让东京奥运会有一个安全的环境，既使是“零观众”也在所不惜的。 对于日本此举，坊间有各种议论。在我看来，日本执意举办东京奥运会，其意义早已经超过体育的范围，可以说是被“政治化”了。1964年的东京奥运会，被视为1945年日本战败后——“战败复兴元年”的标志性事件。那一年，新干线列车的出现、家用电器的普及、GDP的提高，与东京奥运会一起，为日本成为世界第二大经济体做了重要的铺垫。为此，日本首相安倍晋三任内极力申办东京奥运会，希望那个激励人心的时刻再次出现
 ... ",搜狐网,2021-03-17,0.0,http://www.sohu.com/a/456097058_570249
体育知识分子,"东京奥运12人名单悬念揭晓！4大世界冠军告别，3大新星幸运上位 为了更好地备战东京奥运会的比赛，中国女排主教练 郎平 带领中国女排的姑娘们在福建漳州开启了第二期的封闭性训练，在第二期的封闭性训练里面一共有20名球员，这20名球员都有机会参加东京奥运会的比赛。对于她们来说，能够参加奥运会的备战是人生非常重要的体验，球迷们也希望她们能够梦想成真。 虽然每一名女排姑娘都希望能够出现在东京奥运会的赛场上，帮助球队争夺奥运会冠军，但是从目前的情况来看，有一些球员并不能实现自己的梦想，因为东京奥运会规定只允许报名12名球员参加比赛，这意味着有很多球员无法出现在东京奥运会的赛场上，只能够成为奥运会的看客
 ... ",懂车帝,2021-03-21,0.0,https://www.dongchedi.com/ugc/article/1694801647171587
东京奥运12人名单预测！4大世界冠军告别，3大新星幸运上位,"为了更好地备战东京奥运会的比赛，中国女排主教练郎平带领中国女排的姑娘们在福建漳州开启了第二期的封闭性训练，在第二期的封闭性训练里面一共有20名球员，这20名球员都有机会参加东京奥运会的比赛。对于她们来说，能够参加奥运会的备战是人生非常重要的体验，球迷们也希望她们能够梦想成真。 虽然每一名女排姑娘都希望能够出现在东京奥运会的赛场上，帮助球队争夺奥运会冠军，但是从目前的情况来看，有一些球员并不能实现自己的梦想，因为东京奥运会规定只允许报名12名球员参加比赛，这意味着有很多球员无法出现在东京奥运会的赛场上，只能够成为奥运会的看客，对于她们来说这是非常无奈的。 2019年的女排世界杯，中国女排国家队
 ... ",手机新浪网,2021-03-21,0.0,https://k.sina.cn/article_1024006547_3d09199300100uw29.html
东京奥运会延期，全球体育陷入困境,"东京奥运会延期，全球体育陷入困境 新快报2020-03-2601:32:02 ■3月24日,行人经过日本东京新桥地区显示东京奥运会和残奥会倒计时的电子屏。新华社图 在新冠病毒肺炎的疫情全球蔓延之时,国际奥委会无奈做出了将东京奥运会推迟的决定。伴随着这个决定的诞生,商业亏损、次年赛事堆积、奥运资格赛变动等一系列难题逐渐找上门来。进入21世纪的第三个十年,在体育领域高度市场化、商业化的今天,可以说
 ... 直接经济损失约为60亿美元。 按照国际奥委会的说法,东京奥运会不迟于2021年夏天举行,同时2020年东京奥运会和残奥会的名称不变。从目前来看,2021年6月—8月是举办大赛相对合适的时间,东京奥运会有极大的
 ... ",一点资讯,2020-08-19,1.0,http://www.yidianzixun.com/article/0QOykbSY
东京奥运会将推迟到2032年？官方辟谣否认！超过八成日本人却支持取消或推迟……,"随着近来日本疫情形势持续恶化，一则 “东京奥运会将在18日被宣布取消，改为在2032年举办” 的消息走红网络，引发众多讨论。 发布东京奥运会将取消报道的媒体是日本一家销量较大的八卦杂志 《周刊实话》 。其发布的报道中称，日本政府将于1月18日召开国会会议商讨2021年度预算方案，决定东京奥运会是否按照延期后的计划。 并称，去年国际奥委会主席巴赫访问日本时就与日本政府方面私下达成口头约定， 如果东京奥运会无法在2021年夏天举办，作为补偿2032年奥运会则将留给东京。 不过此则《周刊实话》东奥报道消息来源于某体育报纸编辑部主任，并在文章中多次写道“据说、听说”等字眼， 缺乏准确来源的信息在日本
 ... ",腾讯新闻网,2021-01-16,1.0,https://new.qq.com/omn/20210116/20210116A0BCN900
善析日本 | 东京奥运会将推迟到2032年？官方辟谣否认！超过八成日本人却支持取消或推迟...,"▲ 随着近来日本疫情形势持续恶化，一则“东京奥运会将在18日被宣布取消，改为在2032年举办”的消息走红网络，引发众多讨论。 发布东京奥运会将取消报道的媒体是日本一家销量较大的八卦杂志《周刊实话》。其发布的报道中称，日本政府将于1月18日召开国会会议商讨2021年度预算方案，决定东京奥运会是否按照延期后的计划。 并称，去年国际奥委会主席巴赫访问日本时就与日本政府方面私下达成口头约定，如果东京奥运会无法在2021年夏天举办，作为补偿2032年奥运会则将留给东京。 不过此则《周刊实话》东奥报道消息来源于某体育报纸编辑部主任，并在文章中多次写道“据说、听说”等字眼，缺乏准确来源的信息在日本主流媒体
 ... ",搜狐网,2021-01-17,1.0,http://www.sohu.com/a/445105088_559312
4月23日，日本政府在2020年初新冠疫情蔓延以后，第三次发布紧急事态宣言。许多人在问:日本一直自称是世界上的“卫生大国”，为什么在新冠疫情的防控上显得非常不给力?,"问题都可以单篇成文，详细叙述。如今，需要直接了当地指出：日本到现在一次又一次地发布紧急事态宣言，背后有一个“用心”，那就是千方百计要利用这种“紧急事态宣言”的特殊管理方式，把控疫情，为东京奥运会的举办创造环境。 当然，有人接着会问：东京奥运会真的那么重要吗？因为疫情不举办就不行了吗？笔者的回答是：是的，真的很重要。从世界历史的角度看，举办奥运会，已经成为一个国家发展具有转折性的重要标志。从日本历史的角度看，奥运会已经被赋有了特殊的政治元素。1964年东京奥运会，被定位日本战后“复兴的元年”。预计在2020年举办的东京奥运会，被定位在2011年“3•11东北大地震”后的“灾后复兴的元年”。因为新
 ... ",懂车帝,2021-04-26,1.0,https://www.dongchedi.com/ugc/article/6955291841281393156
日本三次发布紧急事态宣言捆绑东京奥运会,"都可以单篇成文，详细叙述。如今，需要直接了当地指出：日本到现在一次又一次地发布紧急事态宣言，背后有一个“用心”，那就是千方百计要利用这种“紧急事态宣言”的特殊管理方式，把控疫情，为东京奥运会的举办创造环境。 当然，有人接着会问：东京奥运会真的那么重要吗？因为疫情不举办就不行了吗？笔者的回答是：是的，真的很重要。从世界历史的角度看，举办奥运会，已经成为一个国家发展具有转折性的重要标志。从日本历史的角度看，奥运会已经被赋有了特殊的政治元素。1964年东京奥运会，被定位日本战后“复兴的元年”。预计在2020年举办的东京奥运会，被定位在2011年“3•11东北大地震”后的“灾后复兴的元年”。因为新冠
 ... ",新浪财经-滚动新闻,2021-04-26,1.0,http://k.sina.com.cn/article_6500897384_1837bd26802000rnnc.html
官宣：东京奥运会绝不延期！民众：别啊！,"时代周报记者 林小山 1月12日，东京奥委会主席森喜朗在共同社“如月会”上发表在线演讲称，因新冠疫情而延期至今年夏天的东京奥运会，“绝对不可能”再延期一年。 东京奥组委首席执行官武藤敏郎同日在另一个场合中也表示，关于东京奥运会取消或者推迟到2024年甚至2032年的消息，都是假新闻。 国际奥委会也力挺东京奥运会在今年举办，国际奥委会新闻发言人在1月11日接受新华社记者采访时说：“国际奥委会对日本政府及其采取的措施充满信心。我们将与日本伙伴一道继续致力于在今年夏天安全成功地举办东京2020奥运会和残奥会。”国际奥委会副主席于再清也罕见表态：“日本政府和国际奥委会（按计划举办东京奥运会）的决心
 ... ",网易,2021-01-14,1.0,http://dy.163.com/article/G096SCNT0528O787.html
专访中国射击运动员陈东琦：“没怎么想过，却拿到了东京奥运会入场券”,"原标题：专访中国射击运动员陈东琦：“没怎么想过，却拿到了东京奥运会入场券” 中新网呼和浩特3月30日电 题：专访中国射击运动员陈东琦：“没怎么想过，却拿到了东京奥运会入场券” 中新网记者 李爱平 “说实话，我当时在比赛的时候，并没有想过拿到东京奥运会入场券这个事。”30日上午，在电话中，陈东琦怕记者听错，笑着对记者重复了一遍。 图为陈东琦。内蒙古体育局供图 她将这次拿到入场券的经历，称之为“心态成熟”，而对于东京奥运会上的奖牌，她亦表示：“好好做，不去想太多。” 3月27日，2021年国家步手枪射击队东京奥运会最终队伍选拔赛在广东省广州市黄村体育训练中心进行女子50米步枪三种姿势的争夺，中国
 ... ",搜狐网,2021-03-30,0.0,http://www.sohu.com/a/458121597_162758
陈东琦：没怎么想过 却拿到了东京奥运会入场券,"陈东琦：没怎么想过 却拿到了东京奥运会入场券 中国新闻网 03月31日08:15 关注 中新网呼和浩特3月30日电 题：专访中国射击运动员陈东琦：“没怎么想过，却拿到了东京奥运会入场券” 中新网记者 李爱平 “说实话，我当时在比赛的时候，并没有想过拿到东京奥运会入场券这个事。”30日上午，在电话中，陈东琦怕记者听错，笑着对记者重复了一遍。 图为陈东琦。内蒙古体育局供图 她将这次拿到入场券的经历，称之为“心态成熟”，而对于东京奥运会上的奖牌，她亦表示：“好好做，不去想太多。” 3月27日，2021年国家步手枪射击队东京奥运会最终队伍选拔赛在广东省广州市黄村体育训练中心进行女子50米步枪三种姿势
 ... ",手机新浪网,2021-03-31,0.0,https://sports.sina.cn/others/sheji/2021-03-31/detail-ikmyaawa2420024.d.html?vt=4&cid=69557&node_id=69557
东京奥运会女子排球队名单的总体情况已经确定，四名世界冠军的梦想已经破灭,"。赢得世界杯后，许多运动员也瞄准了下一个目标--东京奥运会。 但东京奥运会与世界杯完全不同，因为东京奥运会只有12人，世界杯可以竞购16名球员，这意味着中国女排去年赢得世界杯的16名运动员中，至少有4名梦想破灭了。尽管四名运动员都是世界冠军，但他们无法参加东京奥运会。 这对运动员来说是一件非常残酷的事情，郎平教练很无奈。郎平当然希望中国女排的女孩们有机会参加东京奥运会，但由于东京奥运会只能报名12人，所以也要面对现实。一些球迷也想知道应该怎么做？哪四名选手会被淘汰？虽然目前还不确定，但在奥运会开幕前会有一个答案。 从中国女排目前的阵容来看，郎平肯定会更新阵容，到东京奥运会正式开幕时，可能会有一些
 ... ",大学生创业网1,2020-12-19,0.0,http://www.cyw800.com/xiangmu/16513690.html
卫冕之旅 中国女排最大的对手是自己,"本报记者 朱才威 今夏举行的东京奥运会，中国女排将开启卫冕之旅。目前世界排名第一的中国女排，在东京奥运会赛场的主要对手有哪些？不外乎意大利、塞尔维亚、美国、巴西等强队。 进入东京奥运会周期以来
 ... 来看，中国女排的技战术还是被对方压制。所以，如何击败意大利女排，是中国女排备战东京奥运会的重中之重。 除了意大利女排之外，塞尔维亚女排也是中国女排的重要对手。进入东京奥运会周期以来，双方的主力阵容还没有正式交过手，在两队的近几次交锋中，由于种种原因，均出现一方上替补另一方上主力的情况。 塞尔维亚女排在东京奥运会周期成绩不俗，拿到了欧锦赛冠军、世锦赛冠军。在与意大利女排的交手中，她们也总是笑到了最后
 ... ",手机新浪网,2021-01-18,0.0,https://k.sina.cn/article_2093606665_7cc9e709020014bnv.html
已经推迟一年的东京奥运会有可能取消，对中国女排队员有什么影响,"原本应该在2020年举办的东京奥运会，因为新冠肺炎疫情已经推迟了一年，但是，现在新冠肺炎疫情还是非常严重，可能无法保证正常举行。如果东京奥运会取消，对部分中国女排球员还是有影响的，尤其是像颜妮和曾春蕾这样的老运动员，非常遗憾。 中国女排是里约奥运会冠军，东京奥运会的目标当然是卫冕冠军。进入东京奥运周期，以朱婷为核心，由朱婷、张常宁、颜妮、袁心玥、丁霞、龚翔宇和王梦洁等七人组成的七仙女阵容，展示了非常强劲的实力，拿到了2018年世锦赛季军和2019年女排世界杯冠军。 正当中国女排士气高涨，为东京奥运会开展准备之时，一场突如其来的新冠肺炎疫情，导致体育比赛纷纷推迟或者取消，东京奥运会也没能幸免
 ... ",腾讯新闻网,2021-01-13,1.0,https://new.qq.com/rain/a/20210113A0723000
已经推迟一年的东京奥运会如取消对中国女排队员影响有多大？,"原本应该在2020年举办的东京奥运会，因为新冠肺炎疫情已经推迟了一年，但是，现在新冠肺炎疫情还是非常严重，可能无法保证正常举行。如果东京奥运会取消，对部分中国女排球员还是有影响的，尤其是像颜妮和曾春蕾这样的老运动员，非常遗憾。 中国女排是里约奥运会冠军，东京奥运会的目标当然是卫冕冠军。进入东京奥运周期，以朱婷为核心，由朱婷、张常宁、颜妮、袁心玥、丁霞、龚翔宇和王梦洁等七人组成的七仙女阵容，展示了非常强劲的实力，拿到了2018年世锦赛季军和2019年女排世界杯冠军。 正当中国女排士气高涨，为东京奥运会开展准备之时，一场突如其来的新冠肺炎疫情，导致体育比赛纷纷推迟或者取消，东京奥运会也没能幸免
 ... ",新浪财经-滚动新闻,2021-01-13,1.0,http://k.sina.com.cn/article_5578036486_14c7a150600100t5ob.html
国际奥委会不打算取消，但东京奥运深陷疑问之中,"随着新一波新冠疫情席卷全球，日本的疫情形势也日趋严峻，担忧东京奥运会能否如期举办的声音又多了起来。 2021年1月7日，日本首相菅义伟宣布东京都和周围的神奈川、千叶和埼玉三个县进入为期一个月的紧急状态。值得注意的是，这三个县都分布有奥运会比赛和训练场馆。 虽然国际奥委会最资深委员迪克庞德在欧洲当地时间1月20日接受采访时明确了，国际奥委会不打算取消东京奥运会，但面对摆在眼前的困难，日本国内外都充斥着担忧与怀疑。 日前，2012年伦敦奥组委副主席米尔斯（Sir Keith Mills）再次质疑推迟到2021年的东京奥运会能否按期举行。 他认为，全球感染率持续上升，今年举办奥运会的可能性很低
 ... ",百家号,2021-01-21,1.0,https://baijiahao.baidu.com/s?id=1689476470554712937
女排大换血即将开启！5朵金花要说再见了，朱婷或迎来新帮手,"中国女排国家队正在全力备战东京奥运会的比赛，在东京奥运会上中国女排是卫冕冠军，球迷们非常希望中国女排能够再次夺得冠军。虽然现在还不清楚东京奥运会能否正常举办，但是中国女排姑娘们的训练热情并没有减退，大家都在向着心中的目标进行努力，期待着能够在奥运会上拿出最好的表现。 对于中国女排的很多球员来说，东京奥运会有可能是她们最后一次参加奥运会了，东京奥运会结束之后很多国家队的球员都会和球迷告别，中国女排也即将迎来大换血。从目前的年龄和竞技状态来看，中国女排队内的五朵金花有可能会要和球迷们告别了，东京奥运会或许就是她们最后的演出。 这五朵金花分别是二传手丁霞、副攻手颜妮、自由人林莉、接应二传曾春蕾和
 ... ",懂车帝,2021-01-22,0.0,https://www.dongchedi.com/ugc/article/6920386583929684493
东京奥运会还能不能办，《泰晤士报》说了也不算？,"编者按：东京奥运会何去何从，已经变成了一出悬疑剧。 几个星期以来，围绕东京奥运会的种种曝料，比如“1月18日宣布取消”再比如“存在延期到2024年的极秘计划”等，国际奥委会以及日本官方也是加大火力危机公关，国际奥委会主席巴赫在接受日本共同社采访时表示东京奥运会没有“B计划”，东京奥组委主席森喜朗也强调东京奥运会不会再次延期。 但问题是，树欲静风不止。 日本时间1月22日上午，多家日本媒体转载了《泰晤士报》的一则曝料。《泰晤士报》于英国当地时间21日曝料称，鉴于当前疫情蔓延，日本方面已经私下得出了“东京奥运会不得不取消”的结论，并正在朝着2032年举办的方向推动。 报道援引了一名日本自民党官员
 ... ",腾讯新闻网,2021-01-22,1.0,https://new.qq.com/omn/20210122/20210122A0BL1W00
曝因疫情肆虐，东京奥运会无望推迟至明年，奥运会或将取消！,"根据英国媒体泰晤士报的消息，日本政府私下已经认定东京奥运会无法在今年举办，他们争取在未来的下个未确定年举办奥运会，即2032年举办东京奥运会。 据相关知情人员透露，日本政府内部已经达成共识，认为今年严重的疫情让奥运会无法举办。本来东京奥运会将在2020年举办，但由于去年突如其来的疫情，东京奥运会延期一年，如今距离东京奥运会开幕还有半年左右的时间，新冠疫情依然在全球大规模流行。日本政府正寻找合适时机公布消息。 由于新冠疫情的爆发，已经让很多重大国际赛事延期，如2020年的东京奥运会和欧洲杯，今年的疫情若还没有好转，那这两项重大赛事很可能再次延期或者不了了之。 2024年和2028年的奥运会将
 ... ",网易,2021-01-22,1.0,https://www.163.com/dy/article/G0UQD79N0549O5FT.html?f=post2020_dy_recommends
巴赫：东京奥运会没有“B计划”,"原标题：巴赫：东京奥运会没有“B计划” 来源：新华网体育 国际奥委会主席巴赫21日说，东京奥运会肯定会在今夏如期举行，即使在疫情没有被控制住的当下，国际奥委会也没有“B计划”。 ▲巴赫 巴赫是当天在接受日本共同社采访时作上述表示的，他说：“目前，我们没有任何理由相信东京奥运会不会于7月23日在东京的奥林匹克体育场开幕。” 他还说：“这也是我们没有制定‘B计划’的原因，也是我们完全承诺奥运会将安全、成功举行的原因。” 巴赫这一表态明显是为了反驳日本行政改革担当大臣河野太郎上周的质疑，曾经担任过日本外务大臣和防卫大臣的河野太郎14日接受采访时说：“（东京奥运会）一切皆有可能……国际奥委会必须准备
 ... ",齐鲁网,2021-01-22,0.0,http://sd.iqilu.com/v6/share/article/7471164
国际奥委会与日本政府再次明确表示 东京奥运会不会取消或再延期,"北京时间1月22日，日本首相菅义伟在国会发言中回应了英国《泰晤士报》的报道，表示将在东京奥组委和国际奥委会的紧密合作下，让举办东京奥运会成为现实；东京奥组委也回应，表示包括日本政府在内的各方目前的重点都是在今年夏天举办东京奥运会。 昨日，国际奥委会主席巴赫在接受日本媒体采访时表示，因疫情影响已经延期一年的东京奥运会没有替代方案。对于外界关于奥运会再次延期甚至取消的猜测，巴赫否认了以上两种可能性。 “去年，东京奥运会被迫延期，今年的情况与去年有所不同，所有奥运选手都期待来到东京参赛。”由于全球疫情防控形势严峻，外界陆续出现不少悲观的声音，但巴赫对包括接种新冠疫苗在内的奥运会防疫措施充满信心。 
 ... ",搜狐网,2021-01-22,0.0,http://www.sohu.com/a/446109769_120176275
聚焦 | 综述：东京奥运会“怀疑论”者增多,"随着包括东京在内的日本多个都道府县被宣布进入紧急状态，最近日本国内外怀疑东京奥运会无法在7月举行的声音开始增多。与此同时，国际奥委会、东京奥组委和日本首相菅义伟态度非常坚决，都始终承诺东京奥运会将如
 ... 经济顾问、三得利控股社长新浪刚史，新浪刚史12日刚刚参加了菅义伟与微软公司创始人比尔·盖茨的电话会谈。他13日对路透社表示：“我们不确定东京奥运会能否如期举行。”他还表示，尽管日本政府将竭尽全力筹备奥运会，但东京奥运会的命运将会在3月底决定。 来自加拿大的国际奥委会委员迪克·庞德8日接受BBC（英国广播公司）采访时表示，受新冠疫情影响，他不确定东京奥运会能否在今夏如期举行。他说：“我不能确定，因为
 ... ",搜狐网,2021-01-22,0.0,http://www.sohu.com/a/446202862_466816
如果东京奥运会取消，巴黎奥运会中国女排还有夺冠希望吗？,"如果东京奥运会取消，到下届巴黎奥运会，中国女排的阵容实力较目前会有所下降，夺冠的希望也存在，但把握性并不大。 中国女排东京奥运会卫冕几率较大 作为里约奥运会女排冠军，中国女排东京奥运会的卫冕几率还是
 ... ，竞争力十足。就算东京奥运会延期到今年，阵容中绝大多数球员都处在巅峰期，拿到冠军的概率很大。 东京奥运会取消，中国女排遗憾 由于突如其来的新冠肺炎疫情影响，东京奥运会被迫延期一年，但是，目前新冠肺炎疫情仍然不容乐观，全球都有不同程度的发生。在没有较好控制住疫情的情况下，运动员的健康无法保证，而且大面积集聚也容易加重疫情，东京奥运会按时召开的可能性越来越小。 一旦东京奥运会取消，对中国女排来说还是很遗憾
 ... ",腾讯新闻网,2021-01-23,0.0,https://new.qq.com/omn/20210123/20210123A04CML00
国际奥委会主席给大家吃定心丸：还有6个月，东京奥运会准时开幕 距离东京奥运会开幕还有整整6个月的时间，国际奥委会主席托马斯·巴赫发表谈话，进一步表达了成功办好东京奥运会的决心和信心。 问题一：东京奥运,"国际奥委会主席给大家吃定心丸：还有6个月，东京奥运会准时开幕 距离东京奥运会开幕还有整整6个月的时间，国际奥委会主席托马斯·巴赫发表谈话，进一步表达了成功办好东京奥运会的决心和信心。 问题一：东京奥运会还有6个月开幕，目前的整体感受是怎样的？ 巴赫：在东京奥运会开幕倒计时半年之际，整个奥林匹克运动大家庭都对7月23日的开幕充满期待。今天我能够借此机会宣布，全部206个国家（地区）奥委会都全身心投入并期盼这一体育盛会的到来。我们得到了日本政府的全力支持，昨天，我们还征求了所有国际奥委会委员的意见，所有人都决心将东京奥运会成为照亮我们所处的这一黑暗隧道尽头的光芒。在美好期望的鞭策下，我们将继续
 ... ",懂车帝,2021-01-23,0.0,https://www.dongchedi.com/ugc/article/1689652099998787
如果东京奥运取消，女排下届奥运夺冠还有希望吗？,"如果东京奥运会取消，到下届巴黎奥运会，中国女排的阵容实力较目前会有所下降，夺冠的希望也存在，但把握性并不大。 中国女排东京奥运会卫冕几率较大 作为里约奥运会女排冠军，中国女排东京奥运会的卫冕几率还是
 ... ，竞争力十足。就算东京奥运会延期到今年，阵容中绝大多数球员都处在巅峰期，拿到冠军的概率很大。 东京奥运会取消，中国女排遗憾 由于突如其来的新冠肺炎疫情影响，东京奥运会被迫延期一年，但是，目前新冠肺炎疫情仍然不容乐观，全球都有不同程度的发生。在没有较好控制住疫情的情况下，运动员的健康无法保证，而且大面积集聚也容易加重疫情，东京奥运会按时召开的可能性越来越小。 一旦东京奥运会取消，对中国女排来说还是很遗憾
 ... ",新浪财经-滚动新闻,2021-01-24,0.0,http://k.sina.com.cn/article_5578036486_14c7a150600100td97.html
